from,to,album title,primary genre,secondary genre,year of publishing,first grammy category,second grammy category,grammy year,number of grammys per album,number of grammy nominations per album
kib,typ,Positions,3,,2020,4,,2022,0,1
dj,ayj,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
dj,lj,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
dj,yb,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
dj,cc,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
ayj,cc,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
ayj,lj,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
ayj,yb,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
cc,lj,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
cc,yb,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
yb,lj,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
kmc,ayj,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
kmc,lj,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
kmc,yb,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
kmc,cc,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
kmc,dj,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
as,ayj,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
as,lj,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
as,yb,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
as,cc,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
as,dj,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
as,kmc,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
y2k,ayj,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
y2k,lj,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
y2k,yb,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
y2k,cc,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
y2k,dj,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
y2k,kmc,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
y2k,as,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
sul,ayj,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
sul,lj,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
sul,yb,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
sul,cc,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
sul,dj,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
sul,kmc,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
sul,as,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
sul,y2k,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
dal,ayj,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
dal,lj,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
dal,yb,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
dal,cc,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
dal,dj,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
dal,kmc,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
dal,as,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
dal,y2k,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
dal,sul,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
digi,ayj,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
digi,lj,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
digi,yb,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
digi,cc,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
digi,dj,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
digi,kmc,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
digi,as,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
digi,y2k,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
digi,sul,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
digi,dal,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
krh,ayj,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
krh,lj,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
krh,yb,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
krh,cc,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
krh,dj,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
krh,kmc,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
krh,as,Planet Her (Deluxe),3,7,2021,1,4,2022,0,2
